test_code,test_name,specimen_type,draw_container,transport_container,temperature,preferred_volume,minimum_volume,verification_basis,source_url,notes
14532,ADAMTS13 Activity with Reflex to Inhibitor,Platelet-poor plasma,Light Blue Citrate,Transport tube,Frozen,1 mL plasma,0.5 mL,Exact/current public Quest listing,https://www.questdiagnostics.com/healthcare-professionals/clinical-education-center/faq/faq112,"Draw a full 3.2% sodium citrate light-blue tube and invert gently 3–4 times. Centrifuge 15 minutes at 1500 g within 1 hour, remove plasma without disturbing the buffy coat, transfer to a plastic transport tube, freeze immediately, and ship frozen. Submit a separate frozen vial for each special coagulation assay ordered."
91416,AccuType® Ribavirin (ITPA),Whole Blood,Lavender EDTA,Lavender EDTA,Room Temperature,4 mL whole blood,4 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/91416/?cc=MASTER,Collect whole blood in Lavender EDTA and submit the original tube at room temperature. Do not centrifuge. Verify service-area availability before collection.
227,Aldolase,Serum,Red Top,Transport tube,Frozen,2 mL serum,1 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/227/?cc=MASTER,"Collect in a Red Top, allow to clot, centrifuge, transfer serum to a transport tube, and freeze. Ship frozen."
822,Aspartate Aminotransferase (AST),Serum,SST / Gold,Plastic screw-cap serum transport vial,Room Temperature,1 mL serum,0.5 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/822/?cc=MASTER,Allow blood to clot and centrifuge within 1 hour. Transfer serum to a sterile plastic screw-cap serum transport vial. Lithium- or sodium-heparin plasma may also be acceptable if ordered/routed accordingly.
297,"C1 Esterase Inhibitor, Functional",Serum,Red Top,Transport tube,Frozen,1 mL serum,0.2 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/297/?cc=MASTER,"Collect in a Red Top without gel. Allow to clot, centrifuge, transfer serum within 1 hour, and freeze. Do not submit SST/gel serum; avoid thawing before shipment."
298,"C1 Esterase Inhibitor, Protein",Serum,Red Top,Transport tube,Room Temperature,1 mL serum,0.5 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/298/?cc=MASTER,"Collect serum, allow to clot, centrifuge, and transfer to a transport tube. Ship at room temperature unless local routing specifies otherwise."
34303,C1q Antibody (IgG),Serum,Red Top,Transport tube,Room Temperature,0.5 mL serum,0.3 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/34303/?cc=MASTER,"Collect serum in a Red Top without gel, centrifuge, and transfer to a transport tube. SST is not preferred for this workflow. Sodium-heparin or EDTA plasma may be acceptable alternatives when permitted by the active Quest order."
17689,C3a desArg Fragment,Plasma,Lavender EDTA,2 separate transport tubes,Frozen,2 x 1 mL EDTA plasma,2 x 0.5 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/17689/?cc=MASTER,"Collect Lavender EDTA, centrifuge promptly, and submit two separate frozen EDTA-plasma aliquots. Freeze promptly and ship frozen."
4943,C4d,Plasma,Lavender EDTA,Transport tube,Frozen,1 mL EDTA plasma,0.2 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/4943/?cc=MASTER,"Collect Lavender EDTA, centrifuge, transfer plasma to a transport tube, freeze, and ship frozen."
59032,C5a,Plasma,Lavender EDTA,Transport tube,Frozen,1 mL EDTA plasma,0.5 mL,Exact/current public Quest listing,https://testdirectory.questdiagnostics.com/test/test-detail/59032/?cc=MASTER,"Collect Lavender EDTA, centrifuge and separate plasma within 1 hour, transfer to a transport tube, freeze, and ship frozen."
