"Test Code","Local Test Name","Audit Result","Bag Temperature","Quest Transport Temperature","Special Labeling","Source"
"211","ACTH, Plasma","Verified current MASTER record","Frozen","Frozen","","Quest MASTER directory verified 2026-09-02"
"223","Albumin","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"234","Alkaline Phosphatase","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"237","Alpha-Fetoprotein, Tumor Marker (AFP)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"243","Amylase","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"249","ANA screen With Reflex","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"255","DNA (ds) Antibody - dsDNA Antibody","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"256","DNase-B Antibody","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
"265","Anti-Streptolysin O Antibody (ASO)","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"267","Thyroglobulin Antibodies","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"269","Arsenic, Blood","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"285","Bilirubin, direct","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"296","BUN/Creatinine Ratio","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"303","Calcium","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"306","Calcium, Ionized","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"334","Cholesterol, total","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"363","Copper","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"367","Cortisol","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"372","C-Peptide","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"374","Creatine Kinase (CK), Total","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"402","DHEA - Sulfate","Verified current MASTER record","Room Temperature","Room temperature","","Quest MASTER directory verified 2026-09-02"
"439","Estrogen, total","Verified current MASTER record","Refrigerated","Refrigerated (cold packs)","","Quest MASTER directory verified 2026-09-02"
